RBD;c_COD_COM_RBD;DGV_RBD;NOM_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;LATITUD;LONGITUD;CONVENIO_PIE;PACE;MAT_TOTAL;MATRICULA;ESTADO_ESTAB;ORI_RELIGIOSA;ORI_OTRO_GLOSA;PAGO_MATRICULA;PAGO_MENSUAL
13462;4303;7;COLEGIO CERRO GUAYAQUIL;2;1;0;-30.68672943;-70.96056366;1;1;400;1;1;1;;GRATUITO;GRATUITO
13463;4101;5;COLEGIO CARLOS CONDELL DE LA HAZA;6;5;0;-29.870449;-71.239441;1;0;378;1;1;1;;GRATUITO;GRATUITO
13464;4102;3;COLEGIO INGLES GOLDEN COLLEGE;4;3;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13465;4204;1;ESCUELA BASICA JESUS NAZARENO;3;2;1;-31.79648;-70.9618;0;0;0;0;3;2;;GRATUITO;GRATUITO
13467;4102;8;COLEGIO SANTA MARIA DEL REFUGIO;3;2;0;-29.94212;-71.341911;1;0;239;1;1;2;;GRATUITO;GRATUITO
13468;4102;6;ESC. ESP. TRAS. DE LA COMUNIC. HELLEN KELLER;3;2;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13469;4101;4;JARDIN INFANTIL GRAN MOZART;3;2;0;-29.91695213;-71.21951294;0;0;18;1;1;7;NINGUNA;GRATUITO;GRATUITO
13470;4102;8;ESC. ESP. DE TRAST. DE LA COM.EUSEBIO LILLO;3;2;0;;;0;0;0;0;3;1;;GRATUITO;GRATUITO
13471;4101;6;ESC. ESPECIAL DE TRAN. DE LA COM. SANTA LUISA;3;2;0;-29.917728;-71.21326;0;0;36;1;1;1;;GRATUITO;GRATUITO
13472;4101;4;JARDIN INFANTIL TERESA DE JESUS;3;2;0;;;0;0;0;0;2;9;;SIN INFORMACION;SIN INFORMACION
13473;4101;2;ESC. ESP. DE TRANST. DE LA COM. NUEVO AMANECE;3;2;0;-29.87696;-71.240005;0;0;0;0;3;1;;GRATUITO;GRATUITO
13474;4101;0;COLEGIO LA MISION;3;2;0;-29.874451;-71.238586;1;0;368;1;1;1;;GRATUITO;GRATUITO
13475;4101;9;COLEGIO SAN MARTIN DE PORRES;3;2;0;-29.87557;-71.232697;1;0;914;1;1;1;;GRATUITO;GRATUITO
13476;4101;7;JARDIN INFANTIL EL MUNDO DE LOS PELUSITAS;4;3;0;-29.905317;-71.25461;0;0;0;0;1;9;;GRATUITO;$25.001 A $50.000
13477;4101;5;JARDIN INFANTIL SEMILLITA;3;2;0;;;0;0;0;0;3;9;;SIN INFORMACION;SIN INFORMACION
13478;4101;3;JARDIN INFANTIL MI RINCON;4;3;0;-29.922012;-71.25435;0;0;0;0;1;9;;SIN INFORMACION;SIN INFORMACION
13479;4102;1;ESCUELA ESPECIAL EL SENDERO;3;2;0;-29.958744;-71.25819;0;0;131;1;1;1;;GRATUITO;GRATUITO
13480;4301;5;ESCUELA ESPECIAL PALABRITAS;3;2;0;-30.596727;-71.20671;0;0;34;1;1;1;;GRATUITO;GRATUITO
